concept_id,split,label,event_class,text,rationale,owner_decision
matched-positive-001,development,relevant,standalone,I am dating someone new and feel hopeful about it.,Clear relationship or gossip meaning with an existing lexical-v1 term.,
matched-positive-003,development,relevant,standalone,Her girlfriend planned a thoughtful surprise for the weekend.,Clear relationship or gossip meaning with an existing lexical-v1 term.,
matched-positive-005,development,relevant,standalone,His wife asked for more honesty about their plans.,Clear relationship or gossip meaning with an existing lexical-v1 term.,
matched-positive-007,development,relevant,standalone,They are discussing divorce after months of living apart.,Clear relationship or gossip meaning with an existing lexical-v1 term.,
matched-positive-009,development,relevant,standalone,I admitted my crush and learned the feeling was mutual.,Clear relationship or gossip meaning with an existing lexical-v1 term.,
matched-positive-011,development,relevant,standalone,He confessed an affair and asked whether trust can be rebuilt.,Clear relationship or gossip meaning with an existing lexical-v1 term.,
matched-positive-013,development,relevant,standalone,A rumour about their secret engagement is spreading among friends.,Clear relationship or gossip meaning with an existing lexical-v1 term.,
matched-positive-015,development,relevant,standalone,The friendship drama began when both people liked the same person.,Clear relationship or gossip meaning with an existing lexical-v1 term.,
matched-positive-017,development,relevant,standalone,Their relationship became long-distance after one of them moved.,Clear relationship or gossip meaning with an existing lexical-v1 term.,
matched-positive-019,development,relevant,standalone,Dating after a long break has been unexpectedly nerve-racking.,Clear relationship or gossip meaning with an existing lexical-v1 term.,
matched-positive-021,development,relevant,standalone,Her girlfriend said she needs space before making a decision.,Clear relationship or gossip meaning with an existing lexical-v1 term.,
matched-positive-023,development,relevant,standalone,His wife feels ignored whenever work takes over the weekend.,Clear relationship or gossip meaning with an existing lexical-v1 term.,
matched-positive-025,development,relevant,standalone,The divorce conversation became calmer once they wrote down priorities.,Clear relationship or gossip meaning with an existing lexical-v1 term.,
matched-positive-027,development,relevant,standalone,I still have a crush on the neighbour who always makes me laugh.,Clear relationship or gossip meaning with an existing lexical-v1 term.,
matched-positive-029,development,relevant,standalone,The affair became public and caused a painful argument at home.,Clear relationship or gossip meaning with an existing lexical-v1 term.,
matched-positive-031,development,relevant,standalone,The latest rumour is that they reconciled during the holiday.,Clear relationship or gossip meaning with an existing lexical-v1 term.,
unmatched-positive-001,development,relevant,standalone,My partner and I agreed to spend more time listening to each other.,Clear relationship or gossip meaning expressed without a lexical-v1 term.,
unmatched-positive-003,development,relevant,standalone,I was dumped by someone I trusted and I cannot stop thinking about it.,Clear relationship or gossip meaning expressed without a lexical-v1 term.,
unmatched-positive-005,development,relevant,standalone,They separated after years of arguing about money and trust.,Clear relationship or gossip meaning expressed without a lexical-v1 term.,
unmatched-positive-007,development,relevant,standalone,He asked me out for dinner and I said yes.,Clear relationship or gossip meaning expressed without a lexical-v1 term.,
unmatched-positive-009,development,relevant,standalone,My sweetheart has stopped replying since our disagreement.,Clear relationship or gossip meaning expressed without a lexical-v1 term.,
